<!-- MUNICIPALITY CODE|NAME|SV.WIKI|WIKIDATA , encoding="UTF-8" -->
1440|Ale|Ale kommun|q498470
1489|Alingsås|Alingsås kommun|q503162
765|Älmhult|Älmhults kommun|q254799
2039|Älvdalen|Älvdalens kommun|q123855
764|Alvesta|Alvesta kommun|q182007
319|Älvkarleby|Älvkarleby kommun|q59858
2560|Älvsbyn|Älvsbyns kommun|q255025
1492|Åmål|Åmåls kommun|q271079
604|Aneby|Aneby kommun|q503167
2260|Ånge|Ånge kommun|q271107
1292|Ängelholm|Ängelholms kommun|q255206
1984|Arboga|Arboga kommun|q431271
2321|Åre|Åre kommun|q271153
1765|Årjäng|Årjängs kommun|q2777887
2506|Arjeplog|Arjeplogs kommun|q493855
2505|Arvidsjaur|Arvidsjaurs kommun|q499404
1784|Arvika|Arvika kommun|q511365
2463|Åsele|Åsele kommun|q271274
1882|Askersund|Askersunds kommun|q509501
1277|Åstorp|Åstorps kommun|q201813
561|Åtvidaberg|Åtvidabergs kommun|q271340
2084|Avesta|Avesta kommun|q500071
1278|Båstad|Båstads kommun|q499464
1460|Bengtsfors|Bengtsfors kommun|q267462
2326|Berg|Bergs kommun|q845930
2403|Bjurholm|Bjurholms kommun|q376003
1260|Bjuv|Bjuvs kommun|q511310
2582|Boden|Bodens kommun|q509476
1443|Bollebygd|Bollebygds kommun|q503102
2183|Bollnäs|Bollnäs kommun|q62469
1490|Borås|Borås kommun|q894327
885|Borgholm|Borgholms kommun|q509546
2081|Borlänge|Borlänge kommun|q503209
127|Botkyrka|Botkyrka kommun|q113718
560|Boxholm|Boxholms kommun|q509514
2305|Bräcke|Bräcke kommun|q504261
1272|Bromölla|Bromölla kommun|q514830
1231|Burlöv|Burlövs kommun|q186662
1438|Dals-Ed|Dals-Eds kommun|q503132
162|Danderyd|Danderyds kommun|q113679
1862|Degerfors|Degerfors kommun|q509469
2425|Dorotea|Dorotea kommun|q132334
1730|Eda|Eda kommun|q498447
125|Ekerö|Ekerö kommun|q492614
686|Eksjö|Eksjö kommun|q512035
862|Emmaboda|Emmaboda kommun|q509452
381|Enköping|Enköpings kommun|q509568
484|Eskilstuna|Eskilstuna kommun|q503144
1285|Eslöv|Eslövs kommun|q1130264
1445|Essunga|Essunga kommun|q503127
1982|Fagersta|Fagersta kommun|q47018
1382|Falkenberg|Falkenbergs kommun|q508168
1499|Falköping|Falköpings kommun|q503214
2080|Falun|Falu kommun|q501545
1439|Färgelanda|Färgelanda kommun|q499441
1782|Filipstad|Filipstads kommun|q503204
562|Finspång|Finspångs kommun|q503180
482|Flen|Flens kommun|q27982
1763|Forshaga|Forshaga kommun|q499385
2026|Gagnef|Gagnefs kommun|q2642771
2523|Gällivare|Gällivare kommun|q493815
2180|Gävle|Gävle kommun|q510010
662|Gislaved|Gislaveds kommun|q505259
461|Gnesta|Gnesta kommun|q239332
617|Gnosjö|Gnosjö kommun|q509609
1480|Göteborg|Göteborgs kommun|q52502
1471|Götene|Götene kommun|q511281
980|Gotland|Gotlands kommun|q374794
1444|Grästorp|Grästorps kommun|q503148
1764|Grums|Grums kommun|q503122
1447|Gullspång|Gullspångs kommun|q503193
643|Habo|Habo kommun|q503198
305|Håbo|Håbo kommun|q511253
1783|Hagfors|Hagfors kommun|q511407
1863|Hällefors|Hällefors kommun|q220881
1861|Hallsberg|Hallsbergs kommun|q508180
1961|Hallstahammar|Hallstahammars kommun|q47019
1380|Halmstad|Halmstads kommun|q504692
1761|Hammarö|Hammarö kommun|q499359
136|Haninge|Haninge kommun|q113692
2583|Haparanda|Haparanda kommun|q510310
2361|Härjedalen|Härjedalens kommun|q513421
2280|Härnösand|Härnösands kommun|q209634
1401|Härryda|Härryda kommun|q500125
1293|Hässleholm|Hässleholms kommun|q508125
331|Heby|Heby kommun|q516308
2083|Hedemora|Hedemora kommun|q507684
1283|Helsingborg|Helsingborgs kommun|q487648
1466|Herrljunga|Herrljunga kommun|q503111
1497|Hjo|Hjo kommun|q428749
2104|Hofors|Hofors kommun|q62464
1284|Höganäs|Höganäs kommun|q505013
821|Högsby|Högsby kommun|q510233
1267|Höör|Höörs kommun|q266401
1266|Hörby|Hörby kommun|q504619
126|Huddinge|Huddinge kommun|q492575
2184|Hudiksvall|Hudiksvalls kommun|q29963
860|Hultsfred|Hultsfreds kommun|q512002
1315|Hylte|Hylte kommun|q498477
123|Järfälla|Järfälla kommun|q301259
2510|Jokkmokk|Jokkmokks kommun|q512048
680|Jönköping|Jönköpings kommun|q504689
2514|Kalix|Kalix kommun|q117091
880|Kalmar|Kalmar kommun|q508153
1446|Karlsborg|Karlsborgs kommun|q499435
1082|Karlshamn|Karlshamns kommun|q510223
1883|Karlskoga|Karlskoga kommun|q509634
1080|Karlskrona|Karlskrona kommun|q1128384
1780|Karlstad|Karlstads kommun|q498453
483|Katrineholm|Katrineholms kommun|q508140
1261|Kävlinge|Kävlinge kommun|q513370
1715|Kil|Kils kommun|q499393
513|Kinda|Kinda kommun|q515299
2584|Kiruna|Kiruna kommun|q499474
1276|Klippan|Klippans kommun|q504614
330|Knivsta|Knivsta kommun|q504465
1983|Köping|Köpings kommun|q42009
2282|Kramfors|Kramfors kommun|q514815
1290|Kristianstad|Kristianstads kommun|q498857
1781|Kristinehamn|Kristinehamns kommun|q510364
2309|Krokom|Krokoms kommun|q514707
1881|Kumla|Kumla kommun|q504988
1482|Kungälv|Kungälvs kommun|q511394
1384|Kungsbacka|Kungsbacka kommun|q499380
1960|Kungsör|Kungsörs kommun|q47169
1381|Laholm|Laholms kommun|q487502
1282|Landskrona|Landskrona kommun|q502298
1860|Laxå|Laxå kommun|q515326
1814|Lekeberg|Lekebergs kommun|q515282
2029|Leksand|Leksands kommun|q509651
1441|Lerum|Lerums kommun|q503188
761|Lessebo|Lessebo kommun|q509488
186|Lidingö|Lidingö kommun|q3120654
1494|Lidköping|Lidköpings kommun|q515358
1462|Lilla Edet|Lilla Edets kommun|q511241
1885|Lindesberg|Lindesbergs kommun|q514858
580|Linköping|Linköpings kommun|q499410
781|Ljungby|Ljungby kommun|q504235
2161|Ljusdal|Ljusdals kommun|q515235
1864|Ljusnarsberg|Ljusnarsbergs kommun|q514739
1262|Lomma|Lomma kommun|q427991
2085|Ludvika|Ludvika kommun|q503184
2580|Luleå|Luleå kommun|q177019
1281|Lund|Lunds kommun|q505018
2481|Lycksele|Lycksele kommun|q948462
1484|Lysekil|Lysekils kommun|q503173
2418|Malå|Malå kommun|q501540
1280|Malmö|Malmö kommun|q503361
2023|Malung-Sälen|Malung-Sälens kommun|q504266
1493|Mariestad|Mariestads kommun|q427422
